A,B,C,D,E,Y
0.920573718,0.32686065,0.527806687,0.203112673,0.994425583,1.306219047
0.484593478,0.108276374,0.388172236,0.465688748,0.173284331,1.358121965
0.827789315,0.865966716,0.930056145,0.558215376,0.152118507,2.30261753
0.205888925,0.216347297,0.87890196,0.329862529,0.244587021,0.734087551
0.06683937,0.429225168,0.497778675,0.009710086,0.271563592,0.806972537
0.987807562,0.285353529,0.062416841,0.159310379,0.777509987,1.459325644
0.28560287,0.566804553,0.936043101,0.687447352,0.92673889,0.561149842
0.744210712,0.833316284,0.752797296,0.8927774,0.21718395,2.755650978
0.819360851,0.71584256,0.358435383,0.91015233,0.007432478,3.103846574
0.337471448,0.76489676,0.750267872,0.788289515,0.39381573,1.48691726
0.708615345,0.19134724,0.034999446,0.157101292,0.26606207,1.528158263
0.73207291,0.168687489,0.243860382,0.585100611,0.21105729,1.650060811
0.159664597,0.348069558,0.395094373,0.999954823,0.239032116,1.978212274
0.181120493,0.039508517,0.678547624,0.126530098,0.426662535,0.680758013
0.172077762,0.421443905,0.569297082,0.765763858,0.081618714,1.390795976
0.709942069,0.31767309,0.370414407,0.412495693,0.984860156,1.142893993
0.520686826,0.373753103,0.455830398,0.972640039,0.631614691,2.01273323
0.320297675,0.638136997,0.582656609,0.827342445,0.007832249,1.918725063
0.217278582,0.467829652,0.656800868,0.081556446,0.303964181,0.95762171
0.708632998,0.648833129,0.771293671,0.090917687,0.076965731,1.996573472
0.216147144,0.182339616,0.596925956,0.61559054,0.791586287,0.623647702
0.130596585,0.330469529,0.763624073,0.628069243,0.572424092,0.596567496
0.772177366,0.754773397,0.405048944,0.748294906,0.305053899,2.409351477
0.500566443,0.96718251,0.978241308,0.129851886,0.907104433,1.118755364
0.069435818,0.619980727,0.274092644,0.747488405,0.186966518,1.174689118
0.561704904,0.982370746,0.7939566,0.168336954,0.533199562,1.742660892
0.530868355,0.536457868,0.850797526,0.435126253,0.012880523,1.617687856
0.534203796,0.803839536,0.144058439,0.929724215,0.169997106,2.663570389
0.953673331,0.715594437,0.031788073,0.377840811,0.650246388,2.103985686
0.294689574,0.778861701,0.258714614,0.038391604,0.612220698,1.084944621
0.722767653,0.499534824,0.217800926,0.606737267,0.263172055,1.913900638
0.914190088,0.520297281,0.54107361,0.852506937,0.079451073,2.661130856
0.907680773,0.360028261,0.840979869,0.13593683,0.846952793,1.200333233
0.033904827,0.023758157,0.451876221,0.642896743,0.501052076,0.660820545
0.173639099,0.43003675,0.901199635,0.519771691,0.557891044,0.485056266
0.319675388,0.423097484,0.186694075,0.63362145,0.901471312,0.86428119
0.985326897,0.984594476,0.906224505,0.115069916,0.304796034,2.616561536
0.468406859,0.036133033,0.74415522,0.642163005,0.418180687,1.032430241
0.974867046,0.65999685,0.672390801,0.680904919,0.042565698,2.60463279
0.448137828,0.484784307,0.639990518,0.119779576,0.910588365,0.899478908
0.031145315,0.75855455,0.11653246,0.666253014,0.150187666,1.048608808
0.522583826,0.618378804,0.952518108,0.105001461,0.227556296,1.31851363
0.229867063,0.199808565,0.403590047,0.341743097,0.110288347,1.159822428
0.109869117,0.39750719,0.70990266,0.611554847,0.145587937,0.979818523
0.795975243,0.926618801,0.609510001,0.313771414,0.977961071,1.987553269
0.778370904,0.688133117,0.328128595,0.773596357,0.625857941,2.113292097
0.953147104,0.202345738,0.140857605,0.136299269,0.536789624,1.507373652
0.655256545,0.475583077,0.654988848,0.856849461,0.513515421,1.879006533
0.097672829,0.649296936,0.033490051,0.622666634,0.349753922,0.944110202
0.588987649,0.233882788,0.310933145,0.078812071,0.645188013,1.128808492
0.921348357,0.156746182,0.974360643,0.579427691,0.533631266,1.090917724
0.335044696,0.157156432,0.984955289,0.172515314,0.749660482,0.31516109
0.875886313,0.230899428,0.170052561,0.732291,0.992058887,1.419538527
0.78058787,0.122805153,0.419227581,0.196042521,0.043027396,1.73752926
0.754206623,0.016745251,0.090900936,0.826072659,0.240706362,1.844748471
0.18933259,0.486378191,0.358536395,0.762909489,0.057451974,1.498900286
0.447508523,0.197007396,0.466114925,0.509591985,0.119971796,1.418403299
0.843094333,0.680840263,0.643715724,0.915852028,0.073003834,2.961995937
0.719987545,0.106609082,0.642848182,0.995695071,0.88660719,1.918319506
0.739038884,0.301371577,0.849464221,0.674624876,0.514853527,1.327258556
0.602034641,0.888812699,0.173061149,0.6606448,0.175284564,2.329314168
0.004714966,0.745384804,0.685793329,0.301042433,0.48262492,0.455491463
0.222448204,0.098839324,0.944241528,0.833374244,0.838973728,0.588423157
0.415293556,0.114203749,0.861917296,0.359581285,0.490289271,0.740343767
0.043704813,0.315861654,0.689669215,0.735242988,0.511235261,0.692870006
0.359332201,0.719948664,0.045696419,0.179445365,0.807684566,1.054275546
0.053094538,0.000965304,0.695054038,0.273772757,0.706960961,0.331450331
0.184731101,0.785607362,0.42666114,0.998190882,0.444737904,1.95985041
0.957605253,0.970907641,0.017948676,0.956112356,0.902695883,3.240699637
0.733949862,0.106418697,0.001263593,0.685666171,0.462814159,1.464196422
0.325691575,0.57674959,0.364470329,0.445395669,0.027209191,1.551128997
0.775623,0.043494265,0.882002493,0.626415835,0.709955379,0.929458594
0.629606274,0.967695619,0.425141483,0.694367082,0.774566403,2.045265277
0.562291348,0.137013155,0.515892348,0.456849521,0.4294954,1.191205198
0.170760031,0.348043325,0.18230414,0.156378741,0.834554683,0.557299931
0.436756101,0.254006911,0.630403382,0.777986051,0.927807925,1.022832594
0.188486917,0.85232573,0.851734809,0.601546313,0.676187956,0.677338091
0.718672528,0.965141603,0.938126925,0.723645899,0.197282576,2.369134483
0.978778308,0.177315974,0.911815615,0.74652767,0.817485931,1.222806571
0.591467792,0.530970483,0.73953637,0.566105424,0.042088165,1.81842224
0.739283644,0.819351096,0.750271042,0.805835756,0.703848877,2.107486451
0.676886283,0.123824366,0.362147184,0.020877485,0.402557438,1.318211952
0.355063859,0.853882903,0.671914029,0.16231324,0.141889458,1.575518403
0.83967377,0.567347254,0.118910085,0.303757293,0.311904614,2.013172759
0.950520951,0.453034636,0.00356457,0.873320134,0.436376805,2.377410677
0.162647596,0.708104114,0.840065017,0.917683864,0.502392992,1.276724837
0.596661307,0.168420438,0.677343268,0.294134826,0.639302254,0.999316999
0.374102543,0.991463709,0.60348159,0.940844422,0.047280562,2.609291584
0.622064021,0.894514601,0.574482454,0.769439778,0.111207522,2.530380667
0.351358073,0.992811895,0.783560622,0.961787851,0.279236881,2.29702281
0.212971812,0.61648564,0.670535494,0.532681655,0.79873413,0.671707901
0.260141117,0.53655247,0.550199716,0.894163947,0.249534234,1.721506888
0.896245148,0.201412986,0.025701365,0.879840644,0.012101576,2.470401951
0.255936113,0.594801961,0.938758657,0.888697876,0.300131597,1.357953379
0.602589896,0.071600735,0.433394071,0.805536267,0.079810381,1.850794592
0.567668489,0.255870693,0.602726286,0.880883707,0.930758948,1.428620063
0.574319365,0.587151365,0.722991432,0.508082884,0.683158181,1.284009559
0.044806322,0.477103313,0.16123339,0.827307343,0.786996858,0.802690406
0.807720669,0.883698635,0.411469437,0.228674947,0.011677665,2.723496572
0.399358742,0.627618393,0.134138967,0.31864717,0.898138613,1.016063117
0.202586417,0.387308785,0.746383659,0.086328693,0.054726836,1.090505619
0.665970186,0.316737839,0.453349318,0.490025703,0.367655151,1.503319039
0.93911599,0.656569572,0.674759891,0.687520973,0.195912665,2.414398908
0.880499738,0.324176615,0.802891482,0.258968869,0.085666585,1.781314895
0.38272883,0.816738407,0.336276999,0.16561087,0.338550385,1.512719437
0.123521345,0.593414118,0.723832632,0.816789893,0.730091345,0.829301317
0.756411257,0.041413073,0.555820738,0.995106811,0.250318817,2.398546341
0.303915379,0.275620763,0.510361718,0.738249089,0.100305214,1.479814534
0.13541859,0.936341638,0.178354495,0.727869243,0.888158558,0.837658798
0.165001904,0.252475526,0.397528198,0.529572121,0.434846136,0.831256453
0.843931817,0.951987152,0.362830508,0.92762068,0.22763375,3.390445083
0.497919946,0.864201972,0.002988639,0.824719182,0.202861694,2.314803484
0.647292444,0.865375695,0.078759407,0.505466957,0.341221327,2.137144765
0.711485266,0.9692779,0.823337088,0.662268683,0.550798297,2.126411076
0.854816594,0.193480439,0.546164938,0.453705469,0.099225968,1.791662025
0.651507189,0.850343705,0.115013679,0.331474636,0.267268474,2.162048744
0.584588728,0.600287535,0.1935901,0.980648795,0.721854865,2.293994971
0.25243082,0.009271888,0.946700292,0.363000577,0.553047878,0.380136527
0.412541481,0.945036936,0.218809809,0.089976851,0.525342343,1.548626291
0.267278795,0.758475907,0.45871798,0.328790538,0.351028533,1.208373228
0.745311322,0.901187601,0.102208228,0.880764227,0.878447899,2.494418533
0.628743304,0.191506333,0.034340147,0.32295049,0.450185262,1.293727714
0.584981254,0.121077986,0.427512037,0.082449499,0.868014489,0.906241451
0.150561396,0.61230594,0.357372145,0.494294572,0.824644299,0.620462553
0.550301335,0.32161097,0.379658216,0.735278669,0.050893298,1.875013869
0.959468798,0.436325799,0.490939257,0.153556441,0.177460803,2.062387276
0.486122179,0.968023208,0.529150085,0.990457786,0.866822791,2.444505987
0.278064844,0.59399798,0.973058453,0.213021219,0.962447857,0.336490357
0.212713428,0.444356147,0.237654354,0.151553577,0.285840623,1.049410997
0.887130959,0.958428106,0.428686641,0.200048208,0.701711419,2.399599557
0.971024433,0.659301506,0.638525827,0.545828041,0.671254912,1.976659778
0.895918438,0.495619997,0.530369359,0.502009173,0.918435933,1.54909189
0.092405396,0.166547761,0.801352279,0.564418228,0.066090483,0.901082353
0.921208293,0.209601037,0.21391849,0.981765242,0.344154363,2.561889898
0.573591795,0.412244667,0.289816754,0.964265239,0.697299267,2.046987493
0.807125308,0.732999613,0.533585234,0.535442083,0.666438252,1.924459021
0.907280196,0.804377847,0.518270749,0.009823418,0.6635353,2.144474931
0.623722218,0.326164677,0.350701477,0.281193949,0.5175911,1.327665178
0.451458736,0.728274639,0.136032237,0.399372798,0.084732501,1.829211048
0.285723032,0.212069776,0.918508032,0.115160456,0.373265819,0.656344608
0.676443189,0.712151437,0.938879853,0.277790117,0.809814819,1.244232477
0.665187446,0.060669074,0.264287072,0.310261417,0.202661537,1.45631602
0.586671718,0.195452631,0.079295793,0.60256505,0.591771607,1.221339535
0.411751933,0.037495072,0.821639975,0.858295332,0.843463362,0.974299729
0.215297235,0.513199264,0.351490388,0.878783021,0.945636117,1.135579015
0.533023559,0.975625318,0.016664086,0.537485877,0.922217494,1.665918899
0.65009161,0.136502119,0.291040377,0.505419859,0.950806629,0.983030464
0.9393828,0.668886821,0.364025883,0.07979138,0.539833312,2.0740677
0.930880979,0.28692255,0.587275488,0.228618271,0.934810385,1.277623942
0.222623651,0.143822877,0.620825006,0.550584794,0.143241301,1.089907076
0.526726105,0.920140216,0.118149069,0.276176317,0.692841339,1.663316999
0.632685692,0.977224805,0.626042837,0.074050232,0.540519901,2.001955126
0.325623034,0.591540727,0.663493748,0.927257115,0.073397073,2.094864473
0.470100903,0.774186132,0.421172305,0.797846211,0.091029422,2.199248984
0.266503454,0.684843583,0.898884399,0.23793799,0.759088172,0.573537972
0.084965131,0.476319679,0.600554379,0.444155995,0.209752564,0.882858849
0.053823826,0.762950538,0.470120167,0.619640529,0.790496385,0.523708312
0.23616627,0.147679282,0.443085024,0.636649633,0.885613077,0.647375382
0.011995236,0.049736091,0.361497041,0.503580852,0.112981405,0.923962154
0.251385796,0.257893634,0.81950878,0.878058574,0.408003985,1.239917997
0.314969393,0.606747367,0.536820747,0.088984908,0.085644581,1.44162445
0.357247927,0.346130199,0.578926813,0.273317468,0.029262567,1.410957303
0.087385961,0.3932351,0.724517721,0.009675507,0.954518142,0.252860257
0.529570625,0.03076862,0.78764732,0.234221927,0.510634113,0.864866157
0.08224686,0.009782617,0.425917218,0.991618213,0.634858739,1.463951874
0.767439865,0.42804652,0.008331453,0.237076042,0.126642956,1.940005998
0.705954579,0.661729477,0.751058893,0.743020583,0.248727708,2.085209775
0.419213771,0.069808017,0.30861217,0.897503339,0.123393046,1.891514926
0.158153324,0.936708402,0.589752379,0.176109954,0.933045712,0.610139729
0.867439489,0.834964716,0.186124866,0.261958991,0.673181651,2.171327549
0.67446106,0.062171973,0.022633231,0.219692811,0.662122194,1.085271377
0.811958738,0.415196978,0.057369007,0.405299059,0.06545513,2.044668167
0.144379341,0.862058756,0.781893957,0.126893541,0.527772929,0.675933403
0.305667728,0.871195728,0.318426485,0.184684847,0.346676537,1.380806432
0.513479464,0.484647339,0.837635704,0.899786244,0.968555245,1.403040454
0.143535719,0.189657274,0.977972282,0.65533656,0.961062001,0.125477632
0.334075056,0.572718018,0.961489788,0.623302025,0.524981248,0.796192162
0.14453374,0.898227063,0.877844477,0.089162006,0.138687995,0.93331698
0.011173191,0.729843607,0.246433075,0.815471519,0.464613639,0.948115894
0.761113151,0.362810485,0.184998859,0.880743769,0.22351154,2.300907453
0.736380541,0.762459364,0.49235439,0.149020796,0.097756735,2.313013862
0.732665893,0.409923271,0.003664547,0.330842239,0.973004566,1.261705585
0.925194316,0.321086127,0.945599615,0.40203012,0.445630274,1.319536275
0.829863839,0.825824188,0.011814506,0.706695334,0.968176524,2.113411019
0.703978413,0.078940094,0.039601218,0.032933324,0.761619318,1.058389699
0.398002935,0.485970585,0.084263455,0.880670137,0.524507027,1.678654127
0.499672255,0.294034782,0.656594961,0.563028178,0.327070541,1.292113753
0.882618166,0.872456563,0.481319421,0.939856654,0.390050924,3.183420251
0.258575287,0.553856036,0.2409754,0.879239887,0.099477021,1.869532036
0.690829351,0.573006288,0.428646398,0.800965004,0.205373451,2.2403855
0.094802608,0.013081659,0.614639323,0.226561697,0.230783633,0.79921748
0.205060502,0.0471435,0.543915002,0.937688789,0.029617153,1.865329896
0.102554323,0.918293989,0.138357471,0.493081002,0.243357255,1.04674916
0.566566843,0.502147316,0.308113411,0.74869879,0.428815738,1.713253743
0.542183823,0.210867571,0.005566259,0.719255771,0.255530358,1.579523703
0.500006292,0.169479012,0.531716462,0.092277602,0.642230403,0.9618659
0.183530496,0.456042403,0.845258526,0.520236999,0.864173199,0.383106081
0.33696907,0.405552439,0.244047757,0.11576851,0.447365906,1.074501815
0.016553532,0.339029561,0.306859501,0.807971039,0.473467859,0.922139426
0.596542926,0.708814878,0.266080666,0.033860469,0.878128962,1.433328231
0.326139187,0.803373227,0.771444905,0.265009336,0.833178635,0.862651363
0.229142434,0.289897002,0.166505358,0.15473244,0.84823526,0.613086164
0.656019933,0.079675945,0.859865033,0.101202932,0.014145153,1.38531717
0.180261068,0.727787595,0.853318122,0.610859632,0.043557738,1.159143428
0.486077486,0.157505542,0.906550064,0.185678909,0.360438565,0.882353363
0.378222292,0.705883647,0.594253132,0.008394004,0.403485732,1.303369465
0.633845145,0.397573356,0.790604846,0.667832608,0.229195581,1.599896127
0.757374904,0.612165647,0.932339817,0.979285794,0.184844003,2.630406087
0.155732171,0.061675291,0.958345642,0.783808056,0.547769834,0.569029523
0.81375751,0.100761072,0.332502378,0.872209444,0.111316602,2.191748051
0.985356966,0.420372927,0.722679722,0.557453124,0.107206705,2.082706841
0.905577987,0.2521099,0.992813829,0.597054838,0.062731593,1.577899597
0.583390568,0.784785844,0.200073216,0.078818433,0.276799643,1.936705282
0.069282157,0.910710253,0.727015515,0.248323619,0.170599416,0.867623005
0.796393078,0.868951119,0.052869181,0.469922356,0.911360174,2.005594168
0.229750008,0.673009043,0.119104847,0.582388699,0.772237497,0.865056862
0.706816319,0.811505425,0.285952498,0.720751424,0.686738517,2.057306597
0.003674148,0.816931192,0.182140307,0.940863437,0.538786719,1.252978179
0.673993611,0.970700158,0.248361215,0.76493231,0.868847784,2.206721682
0.503248441,0.858763953,0.105472068,0.86963292,0.844910066,1.947190025
0.228885588,0.432874904,0.867679631,0.415513207,0.125079888,0.967481218
0.661556421,0.955601186,0.27576565,0.306445476,0.69697021,1.994813309
0.44367294,0.023840503,0.325125935,0.430692847,0.981679265,0.695062379
0.906283825,0.200360875,0.972590497,0.946983762,0.167342552,2.142620877
0.811943169,0.670442223,0.035122882,0.014808614,0.706794235,1.810008488
0.184339518,0.31937941,0.808072966,0.712810735,0.063265795,1.167383896
0.93525123,0.152795859,0.50132378,0.215944683,0.268043808,1.644851355
0.994824144,0.898374025,0.170034761,0.34099663,0.727252525,2.442238325
0.157254299,0.449334264,0.693260094,0.774015712,0.165421662,1.246039987
0.815455171,0.902133801,0.613215257,0.387688173,0.533454762,2.245378304
0.66592252,0.445725275,0.508528643,0.553075819,0.654631069,1.408467425
0.332356456,0.946674056,0.319767031,0.059571678,0.576432189,1.315552187
0.607262823,0.181499956,0.153310794,0.893516631,0.039492012,2.213961629
0.461304898,0.775802573,0.169449279,0.603288413,0.686773122,1.450540345
0.821919941,0.008549213,0.77077455,0.991140504,0.893856322,1.810586649
0.608362828,0.71704249,0.023197978,0.134809364,0.69427966,1.570012133
0.583700598,0.855978586,0.156007713,0.554702538,0.985377657,1.59398433
0.808562979,0.326451107,0.998819643,0.755182078,0.632165729,1.230878371
0.854026639,0.831049343,0.858668581,0.26446413,0.078139887,2.394412265
0.613072669,0.024158975,0.503395031,0.184031806,0.314923335,1.252818907
0.429055869,0.151302683,0.833078237,0.643174798,0.213817155,1.152095569
0.555005854,0.879863822,0.958794295,0.915222263,0.643178735,1.951718753
0.650141101,0.243586154,0.450289552,0.77498819,0.36369853,1.682856943
0.831468822,0.283634825,0.927173477,0.351710849,0.018311704,1.621024056
0.703857878,0.597474268,0.20675965,0.008969434,0.896978763,1.460497056
0.124517693,0.188101814,0.255522377,0.379329868,0.393829892,0.78096528
0.937702401,0.913285419,0.836095528,0.531213409,0.113903398,2.703791341
0.484095183,0.952252703,0.653262756,0.952221679,0.422309204,2.500435204
0.16709178,0.025167476,0.91474769,0.669964593,0.668580804,0.391354956
